Term;Stemmed;Variations;Frequency
work;work;works, work;132
error messages semantic;error message semantic;error messages semantic;0
boolean logic;boolean logic;boolean logic;0
install;install;install;0
list length;list length;list length;0
nomonomorphismrestriction language extension;nomonomorphismrestriction language extension;nomonomorphismrestriction language extension;0
natural language;natural language;natural language;0
example;example;examples, example;79
queries (database);query ( database );queries (database);0
infinite recursion;infinite recursion;infinite recursion;0
immutable array;immutable array;immutable arrays, immutable array;0
structures 2nd 3rd [see also data structures];structure 2nd 3rd [ see also data structure ];structures 2nd 3rd [see also data structures];0
python programming;python programming;python programming;0
hfilesize function;hfilesize function;hfilesize function;0
error handling;error handling;error handling;4
redirect handler;redirect handler;redirect handler;0
temporary file;temporary file;temporary files, temporary file;13
end;end;end;60
id function;id function;id function;0
open world assumption;open world assumption;open world assumption;0
square brackets ([ ]);square bracket ([ ]);square brackets ([ ]);0
feature;feature;features, feature;10
defining and using new;defining and using new;defining and using new;0
jenkins hash function;jenkins hash function;jenkins hash functions, jenkins hash function;0
splitting line;splitting line;splitting lines, splitting line;0
PGM file;pgm file;PGM files, PGM file;0
compound statement;compound statement;compound statement;0
typed;typed;typed;3
print usage;print usage;print usage;0
functor typeclass;functor typeclass;functor typeclass;2
constant time;constant time;constant time;0
priority queue;priority queue;priority queue;0
datatype;datatype;datatype;1
foldr function;foldr function;foldr function;0
invalid roman;invalid roman;invalid roman;0
curried function;curried function;curried functions, curried function;4
autocommit mode (databases);autocommit mode ( database );autocommit mode (databases);0
order;order;order;40
restriction;restriction;restrictions, restriction;1
right value;right value;right value;1
deck;deck;deck;0
setfiletimes function;setfiletimes function;setfiletimes function;0
FIFO;fifo;FIFO;0
parse type 2nd;parse type 2nd;parse type 2nd;0
runtime option;runtime option;runtime options, runtime option;0
regexp [see regular expressions];regexp [ see regular expression ];regexp [see regular expressions];0
writing;writing;writing;68
type-based testing;type-based testing;type-based testing;0
throw function;throw function;throw function;0
type checking;type checking;type checking;0
programming with;programming with;programming with;0
IO type;io type;IO type;0
decorator;decorator;decorator;0
nested list;nested list;nested list;2
memory location;memory location;memory locations, memory location;0
tointeger function;tointeger function;tointeger function;0
maybe monad;maybe monad;maybe monads, maybe monad;0
full pathname;full pathname;full pathname;0
type name;type name;type names, type name;2
hanging lambda;hanging lambda;hanging lambdas, hanging lambda;0
low-level language;low-level language;low-level language;0
derivedatatypeable;derivedatatypeable;derivedatatypeable;0
partial pathname;partial pathname;partial pathname;0
combining;combining;combining;2
lazy evaluation;lazy evaluation;lazy evaluations, lazy evaluation;0
whitespace;whitespace;whitespace;0
realtofrac function;realtofrac function;realtofrac function;0
multiline literal;multiline literal;multiline literals, multiline literal;0
7-bit ascii;7-bit ascii;7-bit ascii;0
ghci;ghci;GHCi, ghci;42
frominteger function;frominteger function;frominteger function;0
problem-solving;problem-solving;problem-solving;0
quickcheck function;quickcheck function;quickcheck function;0
Data.Map module 2nd;Data.Map module 2nd;Data.Map module 2nd;0
parallel programs 2nd;parallel program 2nd;parallel programs 2nd;0
standard;standard;standard;41
function body;function body;function body;14
shared pattern;shared pattern;shared patterns, shared pattern;0
multiline string literal;multiline string literal;multiline string literals, multiline string literal;0
infix;infix;infix;16
shiftr function;shiftr function;shiftr function;0
logging;logging;logging;4
traceback;traceback;traceback;0
empty string;empty string;empty string;5
unit test;unit test;unit tests, unit test;0
hugs interpreter;hug interpreter;hugs interpreter;0
>>;>>;>>;0
rank;rank;rank;0
system;system;systems, system;43
idempotency;idempotency;idempotency;0
IConnection typeclass;iconnection typeclass;IConnection typeclass;0
metadata (database);metadata ( database );metadata (database);0
type annotation;type annotation;type annotations, type annotation;8
prefix notation;prefix notation;prefix notation;0
service;service;services, service;0
parametric polymorphism;parametric polymorphism;parametric polymorphism;0
unary operator;unary operator;unary operator;0
any newtype constructor;any newtype constructor;any newtype constructor;0
word type;word type;word type;0
stack diagram;stack diagram;stack diagram;0
string type;string type;string type;0
literal hyphen;literal hyphen;literal hyphen;0
resource management;resource management;resource management;0
atomically block;atomically block;atomically blocks, atomically block;0
x:xs pattern;x : x pattern;x:xs pattern;0
dealing card;dealing card;dealing cards, dealing card;0
regular expression;regular expression;regular expressions, regular expression;0
keyword;keyword;keyword;29
representing datum;representing datum;representing data, representing datum;0
iteration;iteration;iteration;0
property-based testing;property-based testing;property-based testing;0
project;project;projects, project;0
pi value;pi value;pi value;0
matching on;matching on;matching on;4
infinite list;infinite list;infinite lists, infinite list;27
fractional division (/) option;fractional division (/) option;fractional division (/) option;0
question mark (?);question mark (?);question mark (?);0
parsebyte function;parsebyte function;parsebyte function;0
ancestor method;ancestor method;ancestor method;0
increment;increment;increment;0
compile-time error;compile-time error;compile-time error;0
same time;same time;same time;2
applicative;applicative;applicative;115
minion hosts;minion hosts;minion hosts;0
doc data type;doc data type;doc data type;0
test datum;test datum;test data, test datum;0
prompt directive (ghci);prompt directive ( ghci );prompt directive (ghci);0
re module;re module;re module;0
ternary type;ternary type;ternary type;0
return keyword;return keyword;return keyword;0
recursive type;recursive type;recursive types, recursive type;0
try keyword;try keyword;try keyword;0
denominator;denominator;denominator;1
python style;python style;python style;0
regular;regular;regular;3
HPC (Haskell Program Coverage);hpc ( haskell program coverage );HPC (Haskell Program Coverage);0
known value;known value;known values, known value;0
dom;dom;dom;0
doc;doc;docs, doc;0
animal game;animal game;animal game;0
section;section;sections, section;42
UPC-A barcodes;UPC-A barcodes;UPC-A barcodes;0
operator overloading format;operator overloading format;operator overloading format;0
random;random;random;71
syntax;syntax;syntax;36
I/O and;I/O and;I/O and;1
tab size;tab size;tab size;0
do notation;do notation;do notation;2
oldmaidgame;oldmaidgame;oldmaidgame;0
monad law;monad law;monad laws, monad law;10
integer directory;integer directory;integer directory;0
Control.Monad.Trans module;Control.Monad.Trans module;Control.Monad.Trans module;0
binding function [see (>>=) operator];binding function [ see (>>=) operator ];binding function [see (>>=) operator];0
implementation;implementation;implementation;49
expression syntax;expression syntax;expression syntax;0
testing code;testing code;testing code;0
case study;case study;case study;0
tuple assignment;tuple assignment;tuple assignment;0
pcre.h header file;pcre.h header file;pcre.h header file;0
rectangle;rectangle;rectangle;4
mapping over;mapping over;mapping over;13
temporary redirect;temporary redirect;temporary redirects, temporary redirect;0
directories and file;directory and file;directories and files, directories and file;0
hseek function;hseek function;hseek function;0
logbase function;logbase function;logbase function;0
command-line application;command-line application;command-line applications, command-line application;0
3d vector type;3d vector type;3d vector type;1
bounded variable;bounded variable;bounded variables, bounded variable;0
remembered group;remembered group;remembered group;0
search result;search result;search results, search result;0
dead code;dead code;dead code;0
file descriptors (FDs);file descriptor ( fds );file descriptors (FDs);0
lifted function;lifted function;lifted functions, lifted function;0
program termination;program termination;program termination;0
traverse;traverse;traverse;5
reference;reference;reference;6
Control.Exception module 2nd 3rd;Control.Exception module 2nd 3rd;Control.Exception module 2nd 3rd;0
testing;testing;testing;11
LINE pragma;line pragma;LINE pragma;0
url routing;url routing;url routing;0
cloning;cloning;cloning;0
Haskell Foreign Function Interface (FFI);haskell foreign function interface ( ffi );Haskell Foreign Function Interface (FFI);0
list equality;list equality;list equality;0
type declaration;type declaration;type declaration;59
types and purity;type and purity;types and purity;0
filename;filename;filenames, filename;3
error checking;error checking;error checking;0
call graph;call graph;call graph;0
file-like object;file-like object;file-like objects, file-like object;0
sort function;sort function;sort function;0
redirect statu;redirect statu;redirect status, redirect statu;0
lazy;lazy;lazy;36
Product id of barcodes;product id of barcodes;Product IDs of barcodes, Product id of barcodes;0
linked queue;linked queue;linked queue;0
preprocessor;preprocessor;preprocessor;0
log file;log file;log file;0
pure error handling;pure error handling;pure error handling;0
immutable type;immutable type;immutable types, immutable type;0
I/O (input/output) and;I/O (input/output) and;I/O (input/output) and;0
seek pointer;seek pointer;seek pointers, seek pointer;0
python version;python version;python versions, python version;0
http web service;http web service;http web services, http web service;0
nothing value;nothing value;nothing value;0
shell scripting;shell scripting;shell scripting;0
monad;monad;monads, monad;150
internal module;internal module;internal modules, internal module;0
pack function;pack function;pack function;0
your project;your project;your project;0
ascii character;ascii character;ascii characters, ascii character;0
comprehension;comprehension;comprehensions, comprehension;56
multiple fraction assignment;multiple fraction assignment;multiple fraction assignment;0
type definition;type definition;type definitions, type definition;0
non-threaded runtime;non-threaded runtime;non-threaded runtime;0
exception type;exception type;exception type;0
positional types;positional types;positional types;0
interpret;interpret;interpret;0
math function;math function;math function;0
flexible;flexible;flexible;0
numpy;numpy;numpy;0
processing [see file processing];processing [ see file processing ];processing [see file processing];0
syntax error;syntax error;syntax errors, syntax error;1
monomorphism;monomorphism;monomorphism;0
System.FilePath module 2nd;System.FilePath module 2nd;System.FilePath module 2nd;0
mutable object invariant;mutable object invariant;mutable object invariant;0
monomorphism restriction;monomorphism restriction;monomorphism restriction;0
python programming module;python programming module;python programming modules, python programming module;0
input;input;input;69
monoid instance;monoid instance;monoid instance;1
exception;exception;exceptions, exception;53
fundamental ambiguity;fundamental ambiguity;fundamental ambiguity;0
program development;program development;program development;0
planned development;planned development;planned development;0
formatting;formatting;formatting;0
boilerplate code;boilerplate code;boilerplate code;0
dot product;dot product;dot product;0
child node;child node;child node;0
or function;or function;or function;2
bytestring module;bytestring module;bytestring modules, bytestring module;2
leaf node;leaf node;leaf node;1
python programming database;python programming database;python programming databases, python programming database;0
deep equality;deep equality;deep equality;0
custom data types for;custom data type for;custom data types for;0
Data.Traversable module;Data.Traversable module;Data.Traversable module;0
encoding scheme;encoding scheme;encoding scheme;0
python standard library;python standard library;python standard library;0
long integer division;long integer division;long integer division;0
recursion;recursion;recursion;30
make;make;make;389
MVar type 2nd 3rd;mvar type 2nd 3rd;MVar type 2nd 3rd;0
haskell 98;haskell 98;haskell 98;0
listing directories with;listing directory with;listing directories with;0
-sstderr RTS option 2nd;-sstderr RTS option 2nd;-sstderr RTS option 2nd;0
recursive cursor;recursive cursor;recursive cursor;0
nil;nil;nil;0
function object;function object;function object;0
state monads 2nd 3rd;state monad 2nd 3rd;state monads 2nd 3rd;0
emptydatadecl;emptydatadecl;emptydatadecls, emptydatadecl;0
type class constraint;type class constraint;type class constraint;0
file modification;file modification;file modifications, file modification;0
logical operator;logical operator;logical operator;0
conditional execution;conditional execution;conditional execution;0
compiling source code;compiling source code;compiling source code;0
valid roman;valid roman;valid roman;0
conditional expression;conditional expression;conditional expressions, conditional expression;1
client;client;client;0
nobuffering mode (buffermode);nobuffering mode ( buffermode );nobuffering mode (buffermode);0
python exception;python exception;python exception;0
ix type;ix type;ix type;0
text substitution;text substitution;text substitutions, text substitution;0
permissive type;permissive type;permissive types, permissive type;0
Build-Depends field;Build-Depends field;Build-Depends fields, Build-Depends field;0
currying;currying;currying;8
ascii string;ascii string;ascii string;0
anonymous (lambda) functions 2nd;anonymous ( lambda ) function 2nd;anonymous (lambda) functions 2nd;0
setting item;setting item;setting items, setting item;0
transformer;transformer;transformers, transformer;0
raise exception;raise exception;raise exception;0
gen environment;gen environment;gen environment;0
state diagram;state diagram;state diagram;0
character;character;characters, character;105
newtype declaration;newtype declaration;newtype declarations, newtype declaration;0
recursive case;recursive case;recursive case;0
working directory;working directory;working directory;0
ancestor class;ancestor class;ancestor class;0
shallow copy;shallow copy;shallow copy;0
named argument;named argument;named arguments, named argument;0
reuse;reuse;reuse;4
SELECT statement;select statement;SELECT statements, SELECT statement;0
monad stack;monad stack;monad stack;0
sherlock holme;sherlock holme;sherlock holmes, sherlock holme;0
fusion;fusion;fusion;0
zipwith function;zipwith function;zipwith function;0
combining function;combining function;combining functions, combining function;0
the list monad;the list monad;the list monad;9
list concatenation;list concatenation;list concatenation;0
polymorphic testing;polymorphic testing;polymorphic testing;0
command prompt;command prompt;command prompt;0
reading/modifying state;reading/modifying state;reading/modifying state;0
transformer stacking;transformer stacking;transformer stacking;0
starvation;starvation;starvation;0
numeric character;numeric character;numeric characters, numeric character;0
toupper function;toupper function;toupper function;0
withtransaction function;withtransaction function;withtransaction function;0
openbinarytempfile function;openbinarytempfile function;openbinarytempfile function;0
Haskell Program Coverage (HPC);haskell program coverage ( hpc );Haskell Program Coverage (HPC);0
quicksort algorithm;quicksort algorithm;quicksort algorithm;0
invisible data dependency;invisible data dependency;invisible data dependencies, invisible data dependency;0
decrement;decrement;decrement;0
soap web;soap web;soap web;0
category theory;category theory;category theory;0
insert function;insert function;insert function;0
subclass;subclass;subclass;3
everything;everything;everything;27
Data.Sequence module;Data.Sequence module;Data.Sequence module;0
incremental development plan;incremental development plan;incremental development plan;0
core;core;cores, core;0
overlappinginstances language extension;overlappinginstances language extension;overlappinginstances language extension;0
automatic derivation;automatic derivation;automatic derivation;0
precedence and associativity;precedence and associativity;precedence and associativity;0
left-biased function;left-biased function;left-biased functions, left-biased function;0
current working;current working;current working;0
linked list;linked list;linked list;0
arbitrary header;arbitrary header;arbitrary headers, arbitrary header;0
word64 type;word64 type;word64 type;0
chapter;chapter;chapter;28
pattern match;pattern match;pattern matches, pattern match;34
strong type;strong type;strong types, strong type;0
getmodificationtime function;getmodificationtime function;getmodificationtime function;0
arbitrary argument;arbitrary argument;arbitrary argument;0
code style;code style;code style;0
numerator;numerator;numerator;1
loop body;loop body;loop body;0
sum type;sum type;sum types, sum type;0
overlapping instance;overlapping instance;overlapping instances, overlapping instance;0
Control.Parallel.Strategies module;Control.Parallel.Strategies module;Control.Parallel.Strategies module;0
antecedents test;antecedent test;antecedents test;0
accessing element;accessing element;accessing element;0
float;float;float;4
string object;string object;string object;0
parsing;parsing;parsing;0
rendering;rendering;rendering;0
haskell;haskell;haskell;189
base case;base case;base case;0
range check;range check;range check;0
compression;compression;compression;0
support;support;supports, support;14
geometric sequence;geometric sequence;geometric sequence;0
Coordinated Universal Time (UTC);coordinated universal time ( utc );Coordinated Universal Time (UTC);0
boolean function;boolean function;boolean function;0
fraction;fraction;fraction;1
getdirectorycontents function;getdirectorycontents function;getdirectorycontents function;0
ghc compiler 2nd;ghc compiler 2nd;ghc compiler 2nd;0
filename matching;filename matching;filename matching;0
DST (Daylight Saving Time);dst ( daylight saving time );DST (Daylight Saving Time);0
gettables function;gettables function;gettables function;0
else keyword;else keyword;else keyword;0
something;something;something;158
putst function;putst function;putst function;0
subclassing;subclassing;subclassing;1
implicit state 2nd;implicit state 2nd;implicit state 2nd;0
com api;com api;com apis, com api;0
external program;external program;external programs, external program;0
true;true;true;22
templates (c++);template ( c ++);templates (c++);0
numeric types 2nd;numeric type 2nd;numeric types 2nd;0
vs. tab character;vs. tab character;vs. tab characters, vs. tab character;0
fraction addition;fraction addition;fraction addition;0
tree node traversal;tree node traversal;tree node traversal;0
traverse function 2nd;traverse function 2nd;traverse function 2nd;0
UTC (Coordinated Universal Time);utc ( coordinated universal time );UTC (Coordinated Universal Time);0
POST method (HTTP);POST method (HTTP);POST method (HTTP);0
IO monad;io monad;IO monad;0
sfetchallrows' function;sfetchallrows ' function;sfetchallrows' function;0
python documentation;python documentation;python documentation;0
wild card;wild card;wild card;0
list creation;list creation;list creation;0
main loop (GUI programming);main loop ( gui programming );main loop (GUI programming);0
lists 2nd 3rd 4th;list 2nd 3rd 4th;lists 2nd 3rd 4th;0
-fvia-C GHC option;-fvia-C GHC option;-fvia-C GHC option;0
Foreign.C.String module 2nd;Foreign.C.String module 2nd;Foreign.C.String module 2nd;0
word8 type;word8 type;word8 type;0
roman numeral;roman numeral;roman numerals, roman numeral;0
check;check;check;94
encrypt;encrypt;encrypt;0
STM (software transactional memory);stm ( software transactional memory );STM (software transactional memory);0
override function;override function;override functions, override function;0
different variable;different variable;different variables, different variable;0
fedora linux;fedora linux;fedora linux;0
test;test;tests, test;15
immutable state;immutable state;immutable states, immutable state;0
enum keyword (C/C++);enum keyword (C/C++);enum keyword (C/C++);0
node;node;node;44
thread map;thread map;thread maps, thread map;0
mutable array;mutable array;mutable arrays, mutable array;0
variable;variable;variables, variable;43
runtime error message;runtime error message;runtime error messages, runtime error message;0
PostgreSQL;PostgreSQL;PostgreSQL;0
compile-time error message;compile-time error message;compile-time error messages, compile-time error message;0
argument list;argument list;argument list;2
logical and (&&);logical and (&&);logical and (&&);0
push;push;push;5
applicative operator;applicative operator;applicative operator;2
Data.Monoid module;Data.Monoid module;Data.Monoid module;0
POSIX regular expressions;POSIX regular expressions;POSIX regular expressions;0
concept;concept;concepts, concept;11
global;global;global;9
datum;datum;data, datum;0
error stream;error stream;error stream;0
linebuffering mode (buffermode);linebuffering mode ( buffermode );linebuffering mode (buffermode);0
map function;map function;map function;7
row;row;row;3
list cloning;list cloning;list cloning;0
record syntax;record syntax;record syntax;13
p3 (plain) netpbm image format;p3 ( plain ) netpbm image format;p3 (plain) netpbm image format;0
connecting;connecting;connecting;1
soap fault;soap fault;soap faults, soap fault;0
predicate;predicate;predicates, predicate;73
implicit state;implicit state;implicit state;0
unicode datum;unicode datum;unicode data, unicode datum;0
universal newline support;universal newline support;universal newline support;0
class dictionary;class dictionary;class dictionaries, class dictionary;0
nesting;nesting;nesting;3
word;word;word;33
numeric 2nd;numeric 2nd;numeric 2nd;0
newtype;newtype;newtype;49
programming environment;programming environment;programming environment;0
format string;format string;format string;0
level;level;level;4
binary function;binary function;binary function;38
variable role;variable role;variable roles, variable role;0
structural recursion;structural recursion;structural recursion;0
custom url;custom url;custom url;0
queueing policy;queueing policy;queueing policy;0
leading character;leading character;leading characters, leading character;0
modulus operator overloading;modulus operator overloading;modulus operator overloading;0
tree node expression;tree node expression;tree node expression;0
standard library;standard library;standard library;17
typeclasses 2nd;typeclasses 2nd;typeclasses 2nd;0
pipe (|);pipe (|);pipe (|);0
cargo;cargo;cargo;0
readability;readability;readability;2
object contain;object contain;object contains, object contain;0
slice list;slice list;slice list;0
true boolean value;true boolean value;true boolean value;0
template;template;template;3
GET method (HTTP);get method ( http );GET method (HTTP);0
barcode;barcode;barcodes, barcode;0
guardian;guardian;guardian;0
list operand;list operand;list operand;0
parse type;parse type;parse type;0
intergral;intergral;intergral;0
mapm function 2nd;mapm function 2nd;mapm function 2nd;0
re;re;re;330
preorder;preorder;preorder;0
ubuntu linux;ubuntu linux;ubuntu linux;0
mempty;mempty;mempty;2
random value;random value;random values, random value;13
SQL (Structured Query Language);sql ( structured query language );SQL (Structured Query Language);0
queue;queue;queue;0
delimiter;delimiter;delimiter;0
xml document;xml document;xml documents, xml document;0
web page;web page;web pages, web page;0
NF (normal form);nf ( normal form );NF (normal form);0
pentium;pentium;pentium;0
purity 2nd 3rd [see also pure functions];purity 2nd 3rd [ see also pure function ];purity 2nd 3rd [see also pure functions];0
do expression;do expression;do expressions, do expression;0
mental list;mental list;mental list;0
improved implementation;improved implementation;improved implementation;0
language extension;language extension;language extensions, language extension;0
overloading operator overloading;overloading operator overloading;overloading operator overloading;0
shift function;shift function;shift function;0
pair (2-tuple);pair (2-tuple);pair (2-tuple);0
loop variable;loop variable;loop variable;0
GHC-Options property;GHC-Options property;GHC-Options property;0
prelude module 2nd;prelude module 2nd;prelude module 2nd;0
encode;encode;encode;0
scope;scope;scope;2
parsec helper function;parsec helper function;parsec helper functions, parsec helper function;0
leaky code;leaky code;leaky code;0
terminal program;terminal program;terminal program;0
head function 2nd 3rd;head function 2nd 3rd;head function 2nd 3rd;0
deck object;deck object;deck object;0
distribution;distribution;distribution;0
concat function 2nd 3rd;concat function 2nd 3rd;concat function 2nd 3rd;0
match function;match function;match function;0
Data.Foldable module 2nd;Data.Foldable module 2nd;Data.Foldable module 2nd;0
otherwise expression;otherwise expression;otherwise expression;0
implicit context;implicit context;implicit context;0
logarithm;logarithm;logarithm;0
modulus operator;modulus operator;modulus operator;0
lowercase;lowercase;lowercase;2
hash tables 2nd;hash table 2nd;hash tables 2nd;0
poke function;poke function;poke function;0
functional programming;functional programming;functional programming;6
constraint;constraint;constraints, constraint;38
binary search tree;binary search tree;binary search tree;10
rnf function;rnf function;rnf function;0
arithmetic expression;arithmetic expression;arithmetic expressions, arithmetic expression;0
modifier;modifier;modifier;0
pickle;pickle;pickle;0
return calls 2nd;return call 2nd;return calls 2nd;0
attribute;attribute;attributes, attribute;1
indice of arrays;indice of array;indices of arrays, indice of arrays;0
right-associative signature;right-associative signature;right-associative signatures, right-associative signature;0
substring;substring;substrings, substring;0
fundamental ambiguity theorem;fundamental ambiguity theorem;fundamental ambiguity theorem;0
custom data type for errors;custom data type for error;custom data types for errors, custom data type for errors;0
purity;purity;purity;5
counting;counting;counting;3
logical or (||);logical or (||);logical or (||);0
redundancy;redundancy;redundancy;0
inheritance;inheritance;inheritance;0
set comprehension;set comprehension;set comprehension;2
planned development plan;planned development plan;planned development plan;0
in operator;in operator;in operator;0
international language support;international language support;international language support;0
write;write;write;105
Control.Applicative module;Control.Applicative module;Control.Applicative module;0
pure;pure;pure;33
parameter;parameter;parameters, parameter;281
compiled regular expression;compiled regular expression;compiled regular expression;0
cl compiler;cl compiler;cl compiler;0
map;map;maps, map;118
product;product;product;11
strictness;strictness;strictness;0
irrational;irrational;irrational;0
clone;clone;clone;0
JSON typeclass;json typeclass;JSON typeclasses, JSON typeclass;0
monadic use;monadic use;monadic use;0
date;date;dates, date;2
soap service;soap service;soap service;0
lifting;lifting;lifting;1
function argument;function argument;function arguments, function argument;0
combinator function;combinator function;combinator functions, combinator function;0
first function;first function;first function;6
operation dictionary;operation dictionary;operation dictionary;0
find command;find command;find command;0
GHC;ghc;GHC;2
python interpreter;python interpreter;python interpreter;0
syndicated feed;syndicated feed;syndicated feed;0
same line;same line;same line;1
character class;character class;character classes, character class;0
non-strict evaluation;non-strict evaluation;non-strict evaluation;0
non-limited length;non-limited length;non-limited length;0
pointer;pointer;pointers, pointer;3
System.Posix.Files module;System.Posix.Files module;System.Posix.Files module;0
processor time;processor time;processor time;0
web application;web application;web applications, web application;0
polymorphic types 2nd;polymorphic type 2nd;polymorphic types 2nd;0
platform;platform;platform;1
window;window;windows, window;0
handling error;handling error;handling errors, handling error;0
passing datum between c and haskell;passing datum between c and haskell;passing data between c and haskell, passing datum between c and haskell;0
class instance;class instance;class instances, class instance;2
user IDs (UIDs);user ids ( uids );user IDs (UIDs);0
proxy class;proxy class;proxy class;0
loop traversal;loop traversal;loop traversal;0
ADT (abstract data types);adt ( abstract data type );ADT (abstract data types);0
subexpression;subexpression;subexpression;0
Robert McCloskey;Robert McCloskey;Robert McCloskey;0
INSERT query;insert query;INSERT queries, INSERT query;0
pattern matching;pattern matching;pattern matching;52
equality;equality;equality;20
name;name;name;157
partial function;partial function;partial functions, partial function;0
type system;type system;type system;10
last item;last item;last item;1
slice index;slice index;slice index;0
static method;static method;static methods, static method;0
taking advantage;taking advantage;taking advantage;2
ancestor tree;ancestor tree;ancestor tree;0
well typed rule;well typed rule;well typed rules, well typed rule;0
operand;operand;operand;1
naming;naming;naming;3
programming paradigm;programming paradigm;programming paradigm;0
xml library;xml library;xml libraries, xml library;0
shadowing;shadowing;shadowing;0
rational;rational;rational;1
FFI (Haskell Foreign Function Interface);ffi ( haskell foreign function interface );FFI (Haskell Foreign Function Interface);0
putstr function;putstr function;putstr function;0
HTTP request;http request;HTTP requests, HTTP request;0
multiple method;multiple method;multiple methods, multiple method;0
then and else branch;then and else branch;then and else branches, then and else branch;0
operator precedence;operator precedence;operator precedence;0
empty tree node;empty tree node;empty tree node;0
orm;orm;orm;0
rawsystem function 2nd;rawsystem function 2nd;rawsystem function 2nd;0
card;card;card;0
test discovery;test discovery;test discovery;0
derivedatatypeable language;derivedatatypeable language;derivedatatypeable language;0
programming;programming;programming;21
patternguard;patternguard;patternguards, patternguard;0
Data.Function module;Data.Function module;Data.Function module;0
thing;thing;things, thing;161
recursive definition;recursive definition;recursive definition;2
handlejust function;handlejust function;handlejust function;0
continue statement;continue statement;continue statement;0
lambda;lambda;lambda;45
saving;saving;saving;1
enumeration type;enumeration type;enumeration types, enumeration type;0
pseudocode;pseudocode;pseudocode;0
flexibleinstance;flexibleinstance;flexibleinstances, flexibleinstance;0
type constructor;type constructor;type constructors, type constructor;49
message;message;messages, message;11
sample code;sample code;sample code;0
partial application;partial application;partial applications, partial application;6
parent node;parent node;parent node;4
operator work;operator work;operator works, operator work;0
performance hazard;performance hazard;performance hazard;0
way;way;way;195
augmented assignment;augmented assignment;augmented assignment;0
functional programming style;functional programming style;functional programming style;0
-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;0
copy;copy;copy;3
object-oriented design;object-oriented design;object-oriented design;0
expression tree;expression tree;expression tree;0
template file;template file;template files, template file;0
